Title,Location,Company,Summary
2021년 상반기 R&D 개발자 (병역특례 가능/경력 무관),인천 연수구,네오스텍,"담당업무: - 블루투스 메시 기반 위치 추적 솔루션 개발 - 상기 솔루션의 임베디드 펌웨어 개발 - C(필수), Python, Javascript 프로그래밍 언어 사용 - 기술 지원 [자격요건] 경력사항: 무관 (신입도 지원..."
HW/SW 분야 직무 교육 전문강사,서울 강남구,에이치에스글로벌,통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI...
(주)아이옵스 소프트웨어 개발자,대전 유성구,아이옵스,"트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의... 우대사항] - 자바스크립트, 부트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의 개발환경 능숙자 - Windows..."
[NIT Service] NAVER IDC 서버 운영/관리(춘천),강원도 춘천,엔아이티서비스,"application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 - 국가보훈대상자... 경험 - Shell script, python 활용 가능 - 해외 데이터센..."
데이터마이닝 / 정보검색 / NLP / 분산처리 연구원 -금융대기업(연구소),서울,금융 대기업 연구소,"1년이상 - 정보검색/NLP/분산처리/데이터베이스/머신러닝/데이터마이닝 분야 연구개발자 - 프로그래밍( Python, C/C++, Java 중 2가지 이상) 가능자 [우대사항] - Information Retrieval..."
Datacenter Engineer (강원도 춘천 근무),서울,Oracle,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
Deep Learning Systems Research Engineer...,서울,Qualcomm Korea YH,"PyTorch, TensorFlow... Good programming skills in Python/C/C++ - Good communication and presentation skills Preferred..."
AIT 스토리 데이터사이언티스트 신입 및 경력직 중,서울 서초구,로스토리,"셨다면!! 상세 이력서 등록하기 지원양식 커리어 온라인 이력서 직무/산업 직무별(직종) 인공지능(AI).빅데이터인공지능(AI), 빅데이터, Hadoop, R, Python 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
[카카오커머스] 기술직군,성남 분당구,카카오커머스,"우대사항 - 전자금융 감독규정, PCIDSS에 대한 실무 경험이나 이해도가 높으신 분 - JAVA, Python, shell script 등 개발 역량을 갖추신 분 - 웹/앱 취약점 진단 및 모의해킹 역량을 갖추신..."
Data Analyst,서울,IQVIA,learning / predictive modeling ) • 통계 프로그램 활용 능력 SAS / R / Python 중 최소 1가지 중급 이상의 활용능력 요구 • Communication Basic English...
Software Architecture 설계 엔지니어,성남 분당구,딥엑스,경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
"Perception Engineer, Deep Learning - Aut...",서울,NVIDIA,"PyTorch, etc). Strong programming skills in C++... python. Outstanding communication and collaboration skills as we..."
Field Code Scanning Architect new,서울,Github,"languages: C, C++, C#, JAVA, JavaScript/TypeScript, Python, Haskell, Ruby and Go. Experience with relational databases..."
(주)엘솔루 웹 프로그래머 new,서울,㈜엘솔루,그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|경영·인사·총무·사무>경영·기획·전략>경영기획|경영·인사·총무·사무>경영·기획·전략>사업기획|경영·인사...
(주)엘솔루 영업직군 new,서울 서초구,㈜엘솔루,통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>음성인식|인터넷·IT·통신·모바일·게임>빅데이터·AI...
Field Service Engineer,경기도 용인,Nearfield Instruments,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
Field Algorithm Engineer,경기도 화성,Nova Measuring Instruments,long periods of time (up to 1 month each time). Programming – python proficient. Machine learning and data science experience...
DBA경력직,서울 구로구,한국사이버결제,"mariadb ) 유 경험자 2) 프로그래밍 가능자 ( shell, php, jsp, jquery, python, c, java .. 등 ) 3) OS( LINUX, AIX) 관련 자격 보유자 4) 오라클 자격 보유자..."
(주)엘솔루 R&D본부 ASR팀 개발직 new,서울,㈜엘솔루,"제공 [필수사항] ㆍ프로그래밍에 재능 및 열정이 있는 자 ㆍJava, Python 중 하나 이상의 언어사용자 ㆍWeb 개발능력 ㆍ리눅스 사용 경험자... 머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
Quality Engineer 반월공장 (Precursor & Speci...,경기도 안산,Merck KGaA,"analysis. Background in programming ( Python, Java script, SQL) is preferred... preferred ( Python, Java script, SQL..."
[검색] 프론트엔드 엔지니어 (전문연구요원 가능),서울,버즈니,해도가 높으신 분 테스트/배포 환경 구축/운영 경험이 있으신 분 Typescript 사용 경험이 있으신 분 Python(django) 개발 경험이 있으신 분 기타사항 연봉은 협의 후 결정됩니다. (참고 : 해당 포지션의 대졸...
동국대학교 자율사물(AT)사업단 직원 채용,서울 필동,동국대학교,"5. 본교 건학이념인 불교정신을 이해하고 그 신앙생활에 동참하는 자 6. ROS 또는 동급 플랫폼 및 Python 프로그램 가능자 우대 7. 주행 및 드론 등 컴퓨터 비전 기반 제어 경험자 우대 * 연봉은 경력, 역량..."
디지털자산(암호화폐) 퀀트 트레이더 (경력),대한민국,네오위즈,"경험이 있는 분 - 또는 운용사 및 증권회사에서 근무한 경력이 있는 분 우대사항 - 프로그래밍 능력( Python, R 등)을 보유하고, 개발해 본 경험이 있는 분 - 컴퓨터공학, 금융공학, 수학, 통계학을 전공한 분..."
Cloud Solutions Engineer new,서울,Oracle,"etc. Shell Script, Python or Java Script... development languages... Java and Python Development and operation experience..."
